0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:21 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:22 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:22 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:22 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html?marca=carlos HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 200 36553
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:27 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:29 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:29 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:29 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:29 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:29 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:49:30 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:02 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:04 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:04 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:06 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:06 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:06 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:53:06 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html?marca=carlos HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 200 36553
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:37 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:39 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:39 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:40 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:57:40 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [31/Aug/2023:19:58:19 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html?marca=carlos HTTP/1.1" 200 1131
